scrape_date ,post_code ,record_count ,max_page
2019-04-30,45629,44,1
2019-04-30,45630,3,1
2019-04-30,45644,126,2
2019-04-30,45646,8,1
2019-04-30,45647,41,1
2019-04-30,45648,115,2
2019-04-30,45650,11,1
2019-04-30,45652,30,1
2019-04-30,45653,51,1
2019-04-30,45657,31,1
2019-04-30,45660,109,2
2019-04-30,45662,600,6
2019-04-30,45663,121,2
2019-04-30,45671,4,1
2019-04-30,45673,19,1
2019-04-30,45677,13,1
2019-04-30,45679,52,1
2019-04-30,45681,15,1
2019-04-30,45682,33,1
2019-04-30,45693,281,3
2019-04-30,45694,230,3
2019-04-30,45697,63,1
2019-04-30,45699,0,0
2019-04-30,45999,3,1
