ZIP,City,County,Type
43322,Green Camp,Marion,P.O. Box
43323,Harpster,Wyandot,Standard
43324,Huntsville,Logan,Standard
43325,Iberia,Morrow,P.O. Box
43326,Kenton,Hardin,Standard
43330,Kirby,Wyandot,P.O. Box
43331,Lakeview,Logan,Standard
43332,La Rue,Marion,Standard
43333,Lewistown,Logan,Standard
43334,Marengo,Morrow,Standard
43335,Martel,Marion,P.O. Box
43336,Middleburg,Logan,P.O. Box
43337,Morral,Marion,Standard
43338,Mount Gilead,Morrow,Standard
43340,Mount Victory,Hardin,Standard
43341,New Bloomington,Marion,Standard
43342,Prospect,Marion,Standard
43343,Quincy,Logan,Standard
43344,Richwood,Union,Standard
43345,Ridgeway,Hardin,Standard
43346,Roundhead,Hardin,P.O. Box
43347,Rushsylvania,Logan,Standard
43348,Russells Point,Logan,Standard
43349,Shauck,Morrow,P.O. Box
43350,Sparta,Morrow,P.O. Box
43351,Upper Sandusky,Wyandot,Standard
43356,Waldo,Marion,Standard
43357,West Liberty,Logan,Standard
43358,West Mansfield,Logan,Standard
43359,Wharton,Wyandot,Standard
43360,Zanesfield,Logan,Standard
43402,Bowling Green,Wood,Standard
43403,Bowling Green,Wood,Unique
43406,Bradner,Wood,Standard
43407,Burgoon,Sandusky,Standard
43408,Clay Center,Ottawa,P.O. Box
43410,Clyde,Sandusky,Standard
43412,Curtice,Ottawa,Standard
43413,Cygnet,Wood,Standard
43414,Dunbridge,Wood,P.O. Box
43416,Elmore,Ottawa,Standard
43420,Fremont,Sandusky,Standard
43430,Genoa,Ottawa,Standard
43431,Gibsonburg,Sandusky,Standard
43432,Graytown,Ottawa,Standard
43433,Gypsum,Ottawa,P.O. Box
43434,Harbor View,Lucas,P.O. Box
43435,Helena,Sandusky,Standard
43436,Isle Saint George,Ottawa,Standard
43437,Jerry City,Wood,P.O. Box
43438,Kelleys Island,Erie,P.O. Box
43439,Lacarne,Ottawa,P.O. Box
43440,Lakeside Marblehead,Ottawa,Standard
